player_id,player_name,position,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0036223,J.Taylor,RB,ATL,3,3,244,3,42,0,0,0,49.6,46.6
00-0039338,B.Bowers,TE,JAX,13,12,6,0,127,3,0,0,43.3,31.3
00-0038563,T.Tucker,WR,WAS,9,8,4,0,145,3,0,0,40.9,32.9
00-0039040,D.Achane,RB,BUF,6,6,174,2,51,0,0,0,40.5,34.5
00-0039732,B.Nix,QB,NYG,0,0,48,2,0,0,279,2,39.96,39.96
00-0036963,A.St. Brown,WR,CHI,11,9,7,0,115,3,0,0,39.2,30.200000000000003
00-0033280,C.McCaffrey,RB,ATL,8,7,129,2,72,0,0,0,39.1,32.1
00-0037238,D.London,WR,NE,14,9,0,0,118,3,0,0,38.8,29.8
00-0034857,J.Allen,QB,BAL,0,0,30,2,0,0,394,2,38.76,38.76
00-0039918,C.Williams,QB,CIN,2,2,53,0,22,1,280,3,38.7,36.7
00-0039139,J.Gibbs,RB,WAS,4,3,142,2,30,1,0,0,38.2,35.2
00-0036900,J.Chase,WR,PIT,23,16,0,0,161,1,0,0,38.1,22.1
00-0039337,M.Nabers,WR,DAL,13,9,0,0,167,2,0,0,37.7,28.7
00-0036223,J.Taylor,RB,TEN,2,2,153,2,21,1,0,0,37.400000000000006,35.400000000000006
00-0039139,J.Gibbs,RB,TB,3,3,136,2,82,0,0,0,36.8,33.8
00-0036900,J.Chase,WR,JAX,16,14,0,0,165,1,0,0,36.5,22.5
00-0039075,P.Nacua,WR,IND,15,13,0,0,170,1,0,0,36,23
00-0038542,B.Robinson,RB,BUF,8,6,170,1,68,0,0,0,35.8,29.8
00-0033280,C.McCaffrey,RB,NYG,6,5,106,1,67,1,0,0,34.3,29.3
00-0036223,J.Taylor,RB,LAC,3,3,94,3,38,0,0,0,34.2,31.200000000000003
00-0033106,J.Goff,QB,CHI,0,0,6,0,0,0,334,5,33.96,33.96
00-0036139,R.Dowdle,RB,DAL,5,4,183,0,56,1,0,0,33.900000000000006,29.900000000000002
00-0037248,J.Cook,RB,CAR,0,0,216,2,0,0,0,0,33.6,33.6
00-0040122,A.Jeanty,RB,CHI,2,2,138,1,17,2,0,0,33.5,31.5
00-0034844,S.Barkley,RB,NYG,5,4,150,1,24,1,0,0,33.400000000000006,29.400000000000002
00-0037247,G.Pickens,WR,GB,11,8,0,0,134,2,0,0,33.4,25.4
00-0036912,D.Smith,WR,MIN,11,9,0,0,183,1,0,0,33.3,24.3
00-0038996,T.Kraft,TE,PIT,9,7,0,0,143,2,0,0,33.3,26.3
00-0036410,T.Higgins,WR,CHI,9,7,0,0,121,2,0,0,33.1,26.1
00-0038120,B.Hall,RB,CIN,3,2,133,2,14,0,4,1,32.86,30.86
00-0036223,J.Taylor,RB,TEN,4,3,102,3,16,0,0,0,32.8,29.8
00-0036139,R.Dowdle,RB,MIA,4,3,206,1,28,0,0,0,32.400000000000006,29.400000000000002
00-0035700,J.Jacobs,RB,CIN,5,5,93,2,57,0,0,0,32,27
00-0039919,R.Odunze,WR,DET,11,7,0,0,128,2,0,0,31.8,24.8
00-0037238,D.London,WR,BUF,16,10,0,0,158,1,0,0,31.8,21.8
00-0037247,G.Pickens,WR,CAR,11,9,0,0,168,1,0,0,31.8,22.8
00-0035700,J.Jacobs,RB,DAL,4,4,86,2,71,0,0,0,31.700000000000003,27.700000000000003
00-0036223,J.Taylor,RB,LV,4,3,66,3,20,0,0,0,31.6,28.6
00-0033873,P.Mahomes,QB,DET,0,0,32,1,0,0,257,3,31.48,31.48
00-0036919,K.Gainwell,RB,MIN,6,6,99,2,35,0,0,0,31.4,25.4
00-0040129,E.Egbuka,WR,SEA,7,7,0,0,163,1,0,0,31.3,24.3
00-0037840,K.Williams,RB,SF,10,8,65,0,66,2,0,0,31.1,23.1
00-0039040,D.Achane,RB,LAC,6,4,128,2,22,0,0,0,31,27
00-0040715,C.Skattebo,RB,PHI,2,2,98,3,12,0,0,0,31,29
00-0033077,D.Prescott,QB,GB,0,0,2,1,0,0,319,3,30.959999999999997,30.959999999999997
00-0026158,J.Flacco,QB,CHI,0,0,-1,0,0,0,470,4,30.699999999999996,30.699999999999996
00-0029263,R.Wilson,QB,DAL,0,0,23,0,0,0,450,3,30.3,30.3
00-0038543,J.Smith-Njigba,WR,JAX,13,8,0,0,162,1,0,0,30.2,22.2
00-0037816,R.Doubs,WR,DAL,8,6,0,0,58,3,0,0,29.8,23.8
00-0040126,C.Loveland,TE,CIN,7,6,0,0,118,2,0,0,29.8,23.8
00-0036945,J.Fields,QB,PIT,0,0,48,2,0,0,218,1,29.520000000000003,29.520000000000003
00-0036223,J.Taylor,RB,DEN,2,2,165,0,50,1,0,0,29.5,27.5
00-0035710,D.Jones,QB,MIA,0,0,26,2,0,0,272,1,29.48,29.48
00-0035685,D.Montgomery,RB,BAL,1,1,151,2,13,0,0,0,29.400000000000002,28.400000000000002
00-0040189,O.Gadsden,TE,IND,9,7,0,0,164,1,0,0,29.400000000000002,22.400000000000002
00-0037744,T.McBride,TE,GB,13,10,0,0,74,2,0,0,29.4,19.4
00-0034796,L.Jackson,QB,BUF,0,0,70,1,0,0,209,2,29.36,29.36
00-0032764,D.Henry,RB,BUF,1,1,169,2,13,0,0,0,29.2,28.2
00-0039918,C.Williams,QB,DAL,0,0,12,0,0,0,298,4,29.12,29.12
